ID,Module,Feature,Priority,Delivery phase,Current repo status,Sources
F-100,Reports,Transfers,P0,4-5,Missing,"S9, S10, S13"
F-101,Reports,Profit,P0,4-5,Partial,"S9, S10, S13"
F-102,Reports,Supplier report builder,P0,4-5,Missing,"S9, S10, S13"
F-103,Reports,Forecast accuracy,P1,5,Missing,"S9, S10, S13"
F-104,Settings,Forecast defaults,P0,2,Wrong defaults,"S2, S8"
F-105,Settings,PO column configuration,P0,3,Missing,"S15, S23"
F-106,Settings,COGS policy,P0,4,Missing,S12
F-107,Users and roles,Shopify-native user identity,P0,2,Missing,"S16, S19"
F-108,Users and roles,Granular permissions,P0,3,Missing,S16
F-109,Imports,Catalog/supplier/price/cost imports,P0,4,Seed/import limited,S12
F-110,Exports,CSV/PDF/plain-text exports,P0,4,Partial,"S3, S10"
F-111,Shopify Flow,App triggers and actions,P1,5,Missing,S8
F-112,POS,POS location and staff context,P0,4,Missing,"S14, S19"
F-113,Accounting,Accounting export/integrations,P2,6,Missing,S23
F-114,API,Merchant API and webhooks,P2,6,Missing,S16
F-115,AI,Forecast model selection,P1,5-6,Missing,S19
F-116,AI,Forecast explanation,P1,5-6,Missing,S19
F-117,AI,Demand anomaly detection,P1,5-6,Missing,S19
F-118,AI,Supplier lead-time prediction,P2,5-6,Missing,S19
F-119,AI,PO optimization,P2,5-6,Missing,S19
F-120,AI,Cost variance detection,P2,5-6,Missing,S19
F-121,AI,Receipt discrepancy assistant,P2,5-6,Missing,S19
F-122,AI,Stocktake discrepancy triage,P2,5-6,Missing,S19
F-123,AI,Dead-stock actions,P2,5-6,Missing,S19
F-124,AI,Natural-language analytics,P2,5-6,Missing,S19
F-125,AI,Data quality assistant,P1,5-6,Missing,S19
F-126,AI,Support diagnostics,P2,5-6,Missing,S19
F-127,Billing,Shopify App Pricing,P1,6,Premature custom gate,"S19, S24"
F-128,Migration,Stocky migration toolkit,P0,3-5,Missing,"S18, S29"
F-129,App review,Privacy and compliance,P0,1-6,Incomplete webhooks,S19
F-130,BFS,Built for Shopify readiness,P0,All,Not planned,S19
F-131,Brand,Original product identity,P0,0,Current name Stocky++ risky,S19
F-132,Release,Pilot and staged rollout,P0,5-7,Missing,S19
